,fullName,position,teamName,auctionPriceLastYear,keptYears,priceToKeep,projectedAuctionPrice,projectedSavings
0,T.J. Hockenson,TE,Min,13,1,23,1,-22
1,Chris Olave,WR,NO,7,1,17,27,10
2,Alvin Kamara,RB,NO,13,0,18,28,10
3,Cooper Kupp,WR,LAR,51,0,56,22,-34
4,Christian McCaffrey,RB,SF,52,0,57,65,8
5,Graham Gano,K,NYG,1,0,6,0,-6
6,Justin Herbert,QB,LAC,38,0,43,1,-42
7,Kenneth Walker III,RB,Sea,11,0,16,18,2
8,Gabe Davis,WR,Jax,5,0,10,0,-10
9,Allen Lazard,WR,NYJ,1,0,6,0,-6
10,Jamaal Williams,RB,NO,2,0,7,0,-7
11,Jeff Wilson Jr.,RB,Mia,1,0,6,0,-6
12,Ryan Tannehill,QB,Ten,1,0,6,0,-6
13,Rashaad Penny,RB,Phi,1,0,6,0,-6
14,Rondale Moore,WR,Atl,2,0,7,0,-7
15,Darnell Mooney,WR,Atl,1,0,6,0,-6
16,Trevor Lawrence,QB,Jax,14,1,24,18,-6
17,Bijan Robinson,RB,Atl,39,0,44,46,2
18,Tee Higgins,WR,Cin,25,0,30,13,-17
19,Rachaad White,RB,TB,15,0,20,27,7
20,James Cook,RB,Buf,8,0,13,26,13
21,DK Metcalf,WR,Sea,24,0,29,19,-10
22,DeVonta Smith,WR,Phi,28,0,33,22,-11
23,George Pickens,WR,Pit,9,0,14,14,0
24,David Montgomery,RB,Det,7,0,12,12,0
25,Jahan Dotson,WR,Wsh,10,0,15,0,-15
26,Antonio Gibson,RB,NE,7,0,12,2,-10
27,Sam LaPorta,TE,Det,1,0,6,23,17
28,Nico Collins,WR,Hou,1,0,6,22,16
29,Chase Claypool,WR,Mia,1,0,6,0,-6
30,Greg Joseph,K,Min,1,0,6,0,-6
31,Zay Jones,WR,Jax,1,0,6,0,-6
32,Jalen Hurts,QB,Phi,35,1,45,64,19
33,Travis Kelce,TE,KC,31,1,41,25,-16
34,Joe Mixon,RB,Hou,28,0,33,23,-10
35,CeeDee Lamb,WR,Dal,39,0,44,60,16
36,Evan McPherson,K,Cin,1,0,6,0,-6
37,Amari Cooper,WR,Cle,25,0,30,15,-15
38,Cam Akers,RB,Min,11,0,16,0,-16
39,Geno Smith,QB,Sea,19,0,24,0,-24
40,Skyy Moore,WR,KC,2,0,7,0,-7
41,Matthew Stafford,QB,LAR,2,0,7,0,-7
42,Treylon Burks,WR,Ten,1,0,6,0,-6
43,Jakobi Meyers,WR,LV,2,0,7,1,-6
44,Elijah Mitchell,RB,SF,1,0,6,0,-6
45,Adam Thielen,WR,Car,1,0,6,0,-6
46,Kyler Murray,QB,Ari,1,0,6,32,26
47,Chigoziem Okonkwo,TE,Ten,1,0,6,0,-6
48,Lamar Jackson,QB,Bal,36,1,46,46,0
49,Joe Burrow,QB,Cin,32,1,42,36,-6
50,Jahmyr Gibbs,RB,Det,25,0,30,31,1
51,Tyler Bass,K,Buf,2,0,7,0,-7
52,Christian Kirk,WR,Jax,9,0,14,12,-2
53,Darren Waller,TE,NYG,18,0,23,0,-23
54,Josh Jacobs,RB,GB,39,0,44,23,-21
55,K.J. Osborn,WR,NE,2,0,7,0,-7
56,Christian Watson,WR,GB,14,0,19,2,-17
57,Jordan Addison,WR,Min,6,0,11,3,-8
58,Zay Flowers,WR,Bal,4,0,9,15,6
59,Javonte Williams,RB,Den,8,0,13,9,-4
60,Kendre Miller,RB,NO,1,0,6,0,-6
61,C.J. Stroud,QB,Hou,1,0,6,30,24
62,Dalton Schultz,TE,Hou,2,0,7,3,-4
63,Tyler Boyd,WR,Cin,1,0,6,0,-6
64,Dallas Goedert,TE,Phi,8,1,18,6,-12
65,Jaylen Waddle,WR,Mia,16,1,26,18,-8
66,Harrison Butker,K,KC,3,0,8,1,-7
67,Josh Allen,QB,Buf,51,0,56,64,8
68,Calvin Ridley,WR,Ten,24,0,29,11,-18
69,Deebo Samuel,WR,SF,10,0,15,19,4
70,Jonathan Taylor,RB,Ind,20,0,25,34,9
71,DeAndre Hopkins,WR,Ten,11,0,16,4,-12
72,Derek Carr,QB,NO,9,0,14,0,-14
73,Dalvin Cook,RB,Bal,12,0,17,0,-17
74,Kyle Pitts,TE,Atl,6,0,11,12,1
75,Mike Williams,WR,NYJ,5,0,10,0,-10
76,Odell Beckham Jr.,WR,FA,3,0,8,0,-8
77,Courtland Sutton,WR,Den,6,0,11,3,-8
78,Bryce Young,QB,Car,4,0,9,0,-9
79,Brock Purdy,QB,SF,3,0,8,20,12
